죄송하다,-1
죄책감,-1
주눅들다,-1
짠하다,-1
찡하다,-1
착잡하다,-1
참담하다,-1
참회하다,-1
창피하다,-1
처량하다,-1
처절하다,-1
처참하다,-1
청승맞다,-1
초라하다,-1
측은하다,-1
침울하다,-2
침통하다,-1
탄복하다,-1
탄식하다,-1
통탄하다,-1
한숨짓다,-1
한스럽다,-1
한탄하다,-1
허무하다,-1
허전하다,-1
허탈하다,-1
후회하다,-1
휑하다,-1
흑흑,-1
각성되다,0
냉가슴,-1
덤덤하다,0
조심스럽다,1
갑갑하다,-1
고리타분하다,-2
귀찮다,-1
답답하다,-1
따분하다,-1
무료하다,-1
서먹하다,-1
신통찮다,-1
싫증나다,-2
심드렁하다,-1
심심하다,-1
어색하다,-1
재미없다,-2
지겹다,-2
지긋지긋하다,-2
지루함하다,-2
고통스럽다,-2
골치아프다,-2
기진맥진하다,-2
아야,-1
아프다,-2
지끈거리다,-1
가관이다,-1
가소롭다,-1
거북하다,-2
경박하다,-2
괴상하다,-1
괴팍하다,-1
구역질나다,-2
구질구질하다.,-2
꺼림칙하다,-2
꼴불견,-2
넌더리,-2
느글거리다,-1
느끼하다,-2
달갑잖다,-2
더럽다,-2
망측하다,-2
못미덥다,-2
부담스럽다,-2
역겹다,-2
지독하다,-2
징그럽다,-2
찜찜하다,-2
코웃음치다,-1
해괴하다,-1
흉측하다,-2
갈구하다,1
갈망하다,1
감질나다,1
궁금하다,0
반신반의하다,-1
부러워하다,0
섹시하다,1
신비롭다,1
아리송하다,0
알쏭달쏭하다,0
충동적,1
탐나다,1
흥미롭다,2
